"MutantName","Test1","Test2","Test3","Test4","Test5","Test6","Test7","Test8","Test9","Test10","Test11","Test12","Test13","Test14","Test15","Test16","Test17","Test18","Test19","Test20","Test21","Test22","Test23","Test24","Test25","Test26","Test27","Test28","Test29","Test30","MutantKilled?"
"REMAR1","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Yes"
"REMAR2","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Fail","Yes"
"REMAR3","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMAR4","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMAR5","Pass","Fail","Pass","Fail","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Fail","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Yes"
"REMAR6","Fail","Pass","Fail","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Fail","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Yes"
