"MutantName","Test1","Test2","Test3","Test4","Test5","Test6","Test7","Test8","Test9","Test10","Test11","Test12","Test13","Test14","Test15","Test16","Test17","Test18","Test19","Test20","Test21","Test22","Test23","Test24","Test25","Test26","Test27","Test28","Test29","Test30","Test31","Test32","Test33","Test34","Test35","MutantKilled?"
"DISS1","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"DISS2","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Yes"
"DISS3","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Yes"
