"MutantName","Test1","Test2","Test3","Test4","Test5","Test6","Test7","Test8","Test9","Test10","Test11","Test12","Test13","Test14","Test15","Test16","Test17","Test18","Test19","Test20","Test21","Test22","Test23","Test24","Test25","Test26","Test27","Test28","Test29","Test30","Test31","Test32","Test33","Test34","Test35","MutantKilled?"
"REMAR1","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"REMAR2","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"REMAR3","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Yes"
"REMAR4","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Yes"
"REMAR5","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Fail","Pass","Pass","Fail","Pass","Fail","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Fail","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Yes"
"REMAR6","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Fail","Pass","Fail","Fail","Pass","Fail","Pass","Fail","Pass","Fail","Fail","Fail","Pass","Fail","Pass","Fail","Fail","Fail","Pass","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Yes"
