"TestMethod","ADDAR","ADDASSOC","DEAS","DISS","REMAR","REMNODE","CHANGEAS","CHANGEASSOC","totalMutationScore"
"RS","0.0","58.333333333333336","61.904761904761905","100.0","100.0","100.0","62.13592233009708","0.0","65.26946107784431"
"R","0.0","0.0","61.904761904761905","100.0","100.0","87.5","36.89320388349515","0.0","44.31137724550898"
"PNP","0.0","58.333333333333336","0.0","0.0","0.0","93.75","29.126213592233007","0.0","31.137724550898206"
"PP","0.0","0.0","61.904761904761905","100.0","83.33333333333334","87.5","36.89320388349515","0.0","43.712574850299404"
